Furnishing,Facing,Car_Parking,Ownership,Book_amt_Lakhs,Total_Amt_in_rupees
Semi-Furnished,South,,Owner,4," 16,00,000"
Semi-Furnished,East,2.0,Owner,0," 1,60,00,000"
Unfurnished,NONE,,Builder,2," 48,50,000"
Unfurnished,CAPITAL PROPERTIES - (A Property Management Services - 94475 66455),,Dealer,2," 41,00,000"
Semi-Furnished,East,1.0,Owner,3," 63,50,000"
Semi-Furnished,East,1.0,Builder,6," 65,00,000"
Unfurnished,NONE,,Owner,NONE," 60,00,000"
Semi-Furnished,NONE,,Builder,2," 87,00,000"
Unfurnished,North-West,2.0,Owner,4," 82,00,000"
Semi-Furnished,NONE,,Builder,1," 47,90,000"
Semi-Furnished,North,1.0,Builder,04," 33,00,000"
Unfurnished,East,0.0,Builder,4," 29,00,000"
Unfurnished,Empire Centrum,,Builder,10," 49,00,000"
Semi-Furnished,North-East,1.0,Builder,4," 34,99,000"
Unfurnished,NONE,,Builder,2," 14,85,000"
Unfurnished,NONE,,Owner,3+," 3,75,00,000"
Furnished,West,1.0,Owner,5," 60,00,000"
Furnished,Sai Gaon,1.0,Builder,14," 35,00,000"
Semi-Furnished,NONE,,Builder,1," 68,90,000"
Furnished,Neco Garden,,Owner,3," 1,30,00,000"
Furnished,South-West,0.0,Owner,5," 49,00,000"
Furnished,North-East,1.0,Builder,4," 1,15,00,000"
Semi-Furnished,Citadil Terra Cuite,,Owner,4," 60,00,000"
Unfurnished,House,,Owner,20," 50,00,000"
Furnished,North-East,2.0,Dealer,2," 15,500"
Semi-Furnished,NONE,,Owner,West," 75,00,000"
Unfurnished,East,1.0,Dealer,9," 34,00,000"
Semi-Furnished,North,1.0,Owner,1," 18,00,000"
Unfurnished,East,0.0,Dealer,13," 38,00,000"
Unfurnished,East,1.0,Builder,3," 21,00,000"
Furnished,North,1.0,Builder,3," 38,90,000"
Unfurnished,Majestique Towers,,Builder,7," 2,46,00,000"
Unfurnished,Majestique Towers,,Builder,7," 94,00,000"
Unfurnished,Shree Ram Shivalay,,Builder,5," 77,00,000"
Unfurnished,East,1.0,Dealer,14," 49,00,000"
Unfurnished,North,1.0,Builder,3," 65,65,000"
Semi-Furnished,NONE,,Owner,0," 37,00,000"
Unfurnished,Shreeram Shivalay,,Builder,5," 53,00,000"
Unfurnished,Skyrise Sparkle,,Builder,7," 74,00,000"
Unfurnished,Riverdale Groves and Grand,,Builder,13," 93,00,000"
Semi-Furnished,South,,Owner,4," 16,00,000"
Semi-Furnished,East,2.0,Owner,0," 1,60,00,000"
Unfurnished,NONE,,Builder,2," 48,50,000"
Unfurnished,CAPITAL PROPERTIES - (A Property Management Services - 94475 66455),,Dealer,2," 41,00,000"
Semi-Furnished,East,1.0,Owner,3," 63,50,000"
Semi-Furnished,East,1.0,Builder,6," 65,00,000"
Unfurnished,NONE,,Owner,NONE," 60,00,000"
Semi-Furnished,NONE,,Builder,2," 87,00,000"
Unfurnished,North-West,2.0,Owner,4," 82,00,000"
Semi-Furnished,NONE,,Builder,1," 47,90,000"
Semi-Furnished,North,1.0,Builder,04," 33,00,000"
Unfurnished,East,0.0,Builder,4," 29,00,000"
Unfurnished,Empire Centrum,,Builder,10," 49,00,000"
Semi-Furnished,North-East,1.0,Builder,4," 34,99,000"
Unfurnished,NONE,,Builder,2," 14,85,000"
Unfurnished,NONE,,Owner,3+," 3,75,00,000"
Furnished,West,1.0,Owner,5," 60,00,000"
Furnished,Sai Gaon,1.0,Builder,14," 35,00,000"
Semi-Furnished,NONE,,Builder,1," 68,90,000"
Furnished,Neco Garden,,Owner,3," 1,30,00,000"
Furnished,South-West,0.0,Owner,5," 49,00,000"
Furnished,North-East,1.0,Builder,4," 1,15,00,000"
Semi-Furnished,Citadil Terra Cuite,,Owner,4," 60,00,000"
Unfurnished,House,,Owner,20," 50,00,000"
Furnished,North-East,2.0,Dealer,2," 15,500"
Semi-Furnished,NONE,,Owner,West," 75,00,000"
Unfurnished,East,1.0,Dealer,9," 34,00,000"
NONE,NONE,,NONE,NONE,NONE
Unfurnished,East,0.0,Dealer,13," 38,00,000"
Unfurnished,East,1.0,Builder,3," 21,00,000"
Furnished,North,1.0,Builder,3," 38,90,000"
Unfurnished,Majestique Towers,,Builder,7," 2,46,00,000"
Unfurnished,Majestique Towers,,Builder,7," 94,00,000"
Unfurnished,Shree Ram Shivalay,,Builder,5," 77,00,000"
Unfurnished,East,1.0,Dealer,14," 49,00,000"
Unfurnished,North,1.0,Builder,3," 65,65,000"
Semi-Furnished,NONE,,Owner,0," 37,00,000"
Unfurnished,Shreeram Shivalay,,Builder,5," 53,00,000"
Unfurnished,Skyrise Sparkle,,Builder,7," 74,00,000"
Unfurnished,Riverdale Groves and Grand,,Builder,13," 93,00,000"
Semi-Furnished,South,,Owner,4," 16,00,000"
Semi-Furnished,East,2.0,Owner,0," 1,60,00,000"
Unfurnished,NONE,,Builder,2," 48,50,000"
Unfurnished,CAPITAL PROPERTIES - (A Property Management Services - 94475 66455),,Dealer,2," 41,00,000"
Semi-Furnished,East,1.0,Owner,3," 63,50,000"
NONE,NONE,,NONE,NONE,NONE
